,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Thu Mar 08 23:17:05 +0000 2018,1.0,0.0,0.0,0
1,0.4588,Thu Mar 08 23:02:02 +0000 2018,0.864,0.0,0.136,1
2,-0.1027,Thu Mar 08 22:47:06 +0000 2018,0.733,0.147,0.12,2
3,-0.1027,Thu Mar 08 22:32:06 +0000 2018,0.935,0.065,0.0,3
4,0.0,Thu Mar 08 22:25:02 +0000 2018,1.0,0.0,0.0,4
5,0.0,Thu Mar 08 22:05:05 +0000 2018,0.773,0.114,0.114,5
6,0.5719,Thu Mar 08 21:55:07 +0000 2018,0.764,0.0,0.236,6
7,0.0314,Thu Mar 08 21:45:08 +0000 2018,0.717,0.138,0.145,7
8,0.0,Thu Mar 08 21:35:08 +0000 2018,1.0,0.0,0.0,8
9,0.7506,Thu Mar 08 21:30:26 +0000 2018,0.775,0.0,0.225,9
10,-0.6808,Thu Mar 08 21:25:07 +0000 2018,0.61,0.329,0.061,10
11,-0.7003,Thu Mar 08 21:15:13 +0000 2018,0.746,0.254,0.0,11
12,0.0,Thu Mar 08 21:05:03 +0000 2018,1.0,0.0,0.0,12
13,0.0,Thu Mar 08 21:02:29 +0000 2018,1.0,0.0,0.0,13
14,-0.5574,Thu Mar 08 20:55:04 +0000 2018,0.854,0.146,0.0,14
15,0.0,Thu Mar 08 20:45:14 +0000 2018,1.0,0.0,0.0,15
16,0.0,Thu Mar 08 20:44:41 +0000 2018,1.0,0.0,0.0,16
17,0.0258,Thu Mar 08 20:35:09 +0000 2018,0.948,0.0,0.052,17
18,0.6124,Thu Mar 08 20:25:09 +0000 2018,0.62,0.08,0.299,18
19,0.0,Thu Mar 08 20:15:14 +0000 2018,1.0,0.0,0.0,19
20,-0.4754,Thu Mar 08 20:05:07 +0000 2018,0.866,0.134,0.0,20
21,0.0,Thu Mar 08 20:02:56 +0000 2018,1.0,0.0,0.0,21
22,0.0,Thu Mar 08 19:55:06 +0000 2018,1.0,0.0,0.0,22
23,-0.743,Thu Mar 08 19:45:06 +0000 2018,0.588,0.412,0.0,23
24,0.836,Thu Mar 08 19:35:03 +0000 2018,0.613,0.042,0.345,24
25,0.4404,Thu Mar 08 19:25:06 +0000 2018,0.804,0.0,0.196,25
26,0.6369,Thu Mar 08 19:15:11 +0000 2018,0.802,0.0,0.198,26
27,0.0,Thu Mar 08 19:05:51 +0000 2018,1.0,0.0,0.0,27
28,-0.743,Thu Mar 08 18:55:07 +0000 2018,0.741,0.259,0.0,28
29,-0.34,Thu Mar 08 18:45:07 +0000 2018,0.876,0.124,0.0,29
30,0.128,Thu Mar 08 18:35:08 +0000 2018,0.927,0.0,0.073,30
31,0.296,Thu Mar 08 18:25:03 +0000 2018,0.714,0.11,0.176,31
32,0.0,Thu Mar 08 18:15:07 +0000 2018,1.0,0.0,0.0,32
33,0.0,Thu Mar 08 18:05:03 +0000 2018,1.0,0.0,0.0,33
34,0.0,Thu Mar 08 17:54:03 +0000 2018,1.0,0.0,0.0,34
35,-0.3612,Thu Mar 08 17:45:08 +0000 2018,0.741,0.16,0.099,35
36,0.0,Thu Mar 08 17:35:07 +0000 2018,1.0,0.0,0.0,36
37,-0.6597,Thu Mar 08 17:27:00 +0000 2018,0.794,0.206,0.0,37
38,-0.0516,Thu Mar 08 17:23:00 +0000 2018,0.763,0.122,0.115,38
39,0.3612,Thu Mar 08 17:19:00 +0000 2018,0.872,0.0,0.128,39
40,0.5994,Thu Mar 08 17:15:01 +0000 2018,0.736,0.048,0.216,40
41,-0.4939,Thu Mar 08 17:12:35 +0000 2018,0.682,0.232,0.086,41
42,-0.6249,Thu Mar 08 17:05:08 +0000 2018,0.814,0.186,0.0,42
43,0.2263,Thu Mar 08 16:55:10 +0000 2018,0.739,0.108,0.153,43
44,-0.7964,Thu Mar 08 16:45:17 +0000 2018,0.657,0.278,0.066,44
45,-0.2755,Thu Mar 08 16:30:17 +0000 2018,0.912,0.088,0.0,45
46,0.0,Thu Mar 08 16:15:16 +0000 2018,1.0,0.0,0.0,46
47,-0.4854,Thu Mar 08 16:08:07 +0000 2018,0.673,0.222,0.105,47
48,0.0,Thu Mar 08 16:00:22 +0000 2018,1.0,0.0,0.0,48
49,0.0,Thu Mar 08 15:46:03 +0000 2018,1.0,0.0,0.0,49
50,0.0,Thu Mar 08 15:30:04 +0000 2018,1.0,0.0,0.0,50
51,0.34,Thu Mar 08 15:16:03 +0000 2018,0.882,0.0,0.118,51
52,-0.0258,Thu Mar 08 15:04:52 +0000 2018,0.939,0.061,0.0,52
53,0.0,Thu Mar 08 15:00:37 +0000 2018,1.0,0.0,0.0,53
54,0.0,Thu Mar 08 14:43:05 +0000 2018,1.0,0.0,0.0,54
55,-0.34,Thu Mar 08 14:29:03 +0000 2018,0.789,0.211,0.0,55
56,-0.6249,Thu Mar 08 14:21:12 +0000 2018,0.758,0.242,0.0,56
57,-0.6369,Thu Mar 08 14:11:04 +0000 2018,0.763,0.237,0.0,57
58,-0.2732,Thu Mar 08 14:00:29 +0000 2018,0.676,0.188,0.135,58
59,-0.6697,Thu Mar 08 13:44:04 +0000 2018,0.756,0.244,0.0,59
60,0.3612,Thu Mar 08 13:31:04 +0000 2018,0.848,0.0,0.152,60
61,0.5859,Thu Mar 08 13:20:02 +0000 2018,0.789,0.0,0.211,61
62,0.25,Thu Mar 08 13:08:00 +0000 2018,0.905,0.0,0.095,62
63,0.0,Thu Mar 08 13:04:00 +0000 2018,1.0,0.0,0.0,63
64,0.0,Thu Mar 08 13:00:06 +0000 2018,1.0,0.0,0.0,64
65,0.0,Thu Mar 08 12:49:07 +0000 2018,1.0,0.0,0.0,65
66,0.5719,Thu Mar 08 12:41:05 +0000 2018,0.761,0.0,0.239,66
67,0.6908,Thu Mar 08 12:30:16 +0000 2018,0.759,0.0,0.241,67
68,0.5719,Thu Mar 08 12:19:04 +0000 2018,0.783,0.0,0.217,68
69,0.0,Thu Mar 08 12:11:04 +0000 2018,1.0,0.0,0.0,69
70,-0.6249,Thu Mar 08 11:59:06 +0000 2018,0.758,0.242,0.0,70
71,0.2263,Thu Mar 08 11:50:00 +0000 2018,0.909,0.0,0.091,71
72,0.3612,Thu Mar 08 11:45:04 +0000 2018,0.884,0.0,0.116,72
73,0.0,Thu Mar 08 11:30:27 +0000 2018,1.0,0.0,0.0,73
74,0.2263,Thu Mar 08 11:15:06 +0000 2018,0.921,0.0,0.079,74
75,0.0,Thu Mar 08 11:00:04 +0000 2018,1.0,0.0,0.0,75
76,-0.6705,Thu Mar 08 10:47:06 +0000 2018,0.8,0.2,0.0,76
77,0.1779,Thu Mar 08 10:30:10 +0000 2018,0.817,0.078,0.105,77
78,-0.3875,Thu Mar 08 10:16:04 +0000 2018,0.889,0.111,0.0,78
79,-0.4588,Thu Mar 08 09:59:08 +0000 2018,0.636,0.364,0.0,79
80,0.4019,Thu Mar 08 09:45:11 +0000 2018,0.876,0.0,0.124,80
81,-0.6908,Thu Mar 08 09:30:09 +0000 2018,0.783,0.217,0.0,81
82,0.0,Thu Mar 08 09:14:08 +0000 2018,1.0,0.0,0.0,82
83,0.4215,Thu Mar 08 09:02:02 +0000 2018,0.817,0.0,0.183,83
84,0.6486,Thu Mar 08 08:47:01 +0000 2018,0.751,0.0,0.249,84
85,0.0516,Thu Mar 08 08:32:07 +0000 2018,0.825,0.083,0.092,85
86,-0.7845,Thu Mar 08 08:17:06 +0000 2018,0.769,0.231,0.0,86
87,0.296,Thu Mar 08 08:02:07 +0000 2018,0.81,0.074,0.116,87
88,0.6249,Thu Mar 08 07:58:15 +0000 2018,0.661,0.0,0.339,88
89,0.0,Thu Mar 08 07:32:05 +0000 2018,1.0,0.0,0.0,89
90,0.2263,Thu Mar 08 07:01:35 +0000 2018,0.863,0.0,0.137,90
91,0.34,Thu Mar 08 06:45:12 +0000 2018,0.821,0.0,0.179,91
92,0.891,Thu Mar 08 06:43:05 +0000 2018,0.621,0.0,0.379,92
93,-0.0772,Thu Mar 08 06:25:08 +0000 2018,0.951,0.049,0.0,93
94,-0.3291,Thu Mar 08 06:02:03 +0000 2018,0.857,0.143,0.0,94
95,0.0,Thu Mar 08 05:41:03 +0000 2018,1.0,0.0,0.0,95
96,-0.2732,Thu Mar 08 05:21:02 +0000 2018,0.896,0.104,0.0,96
97,-0.3182,Thu Mar 08 05:05:02 +0000 2018,0.796,0.204,0.0,97
98,0.0,Thu Mar 08 05:02:02 +0000 2018,1.0,0.0,0.0,98
99,0.0,Thu Mar 08 04:47:04 +0000 2018,1.0,0.0,0.0,99
